nodo,hora,pax
LineaB:1089,15,797
LineaB:1089,16,1154
LineaB:1089,17,1109
LineaB:1089,18,912
LineaB:1089,19,751
LineaB:1089,20,477
LineaB:1089,21,292
LineaB:1089,22,205
LineaB:1089,23,46
LineaB:1090,6,16
LineaB:1090,7,145
LineaB:1090,8,202
LineaB:1090,9,243
LineaB:1090,10,322
LineaB:1090,11,457
LineaB:1090,12,629
LineaB:1090,13,838
LineaB:1090,14,686
LineaB:1090,15,909
LineaB:1090,16,949
LineaB:1090,17,965
LineaB:1090,18,859
LineaB:1090,19,484
LineaB:1090,20,303
LineaB:1090,21,262
